"initial_alias","converted_alias","name","description","namespace"
"SHROOM1","ENSG00000164403","SHROOM1","shroom family member 1 [Source:HGNC Symbol;Acc:HGNC:24084]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHST9","ENSG00000154080","CHST9","carbohydrate sulfotransferase 9 [Source:HGNC Symbol;Acc:HGNC:19898]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NSFL1C","ENSG00000088833","NSFL1C","NSFL1 cofactor [Source:HGNC Symbol;Acc:HGNC:15912]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GPR146","ENSG00000164849","GPR146","G protein-coupled receptor 146 [Source:HGNC Symbol;Acc:HGNC:21718]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PVRIG","ENSG00000213413","PVRIG","PVR related immunoglobulin domain containing [Source:HGNC Symbol;Acc:HGNC:32190]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTGER3","ENSG00000050628","PTGER3","prostaglandin E receptor 3 [Source:HGNC Symbol;Acc:HGNC:9595]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM108","ENSG00000144868","TMEM108","transmembrane protein 108 [Source:HGNC Symbol;Acc:HGNC:28451]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SIRPG","ENSG00000089012","SIRPG","signal regulatory protein gamma [Source:HGNC Symbol;Acc:HGNC:15757]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAI2","ENSG00000131831","RAI2","retinoic acid induced 2 [Source:HGNC Symbol;Acc:HGNC:9835]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"ARMC8","ENSG00000114098","ARMC8","armadillo repeat containing 8 [Source:HGNC Symbol;Acc:HGNC:24999]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CFAP91","ENSG00000183833","CFAP91","cilia and flagella associated protein 91 [Source:HGNC Symbol;Acc:HGNC:24010]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FCRL2","ENSG00000132704","FCRL2","Fc receptor like 2 [Source:HGNC Symbol;Acc:HGNC:14875]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FRMD6","ENSG00000139926","FRMD6","FERM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19839]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PARVB","ENSG00000188677","PARVB","parvin beta [Source:HGNC Symbol;Acc:HGNC:14653]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIM40","ENSG00000204614","TRIM40","tripartite motif containing 40 [Source:HGNC Symbol;Acc:HGNC:18736]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CAMK1","ENSG00000134072","CAMK1","calcium/calmodulin dependent protein kinase I [Source:HGNC Symbol;Acc:HGNC:1459]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CLEC9A","ENSG00000197992","CLEC9A","C-type lectin domain containing 9A [Source:HGNC Symbol;Acc:HGNC:26705]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STX7","ENSG00000079950","STX7","syntaxin 7 [Source:HGNC Symbol;Acc:HGNC:11442]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UCHL1","ENSG00000154277","UCHL1","ubiquitin C-terminal hydrolase L1 [Source:HGNC Symbol;Acc:HGNC:12513]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GP1BB","ENSG00000203618","GP1BB","glycoprotein Ib platelet subunit beta [Source:HGNC Symbol;Acc:HGNC:4440]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SEPT5-GP1BB","None","None","None",""
"LEPROT","ENSG00000213625","LEPROT","leptin receptor overlapping transcript [Source:HGNC Symbol;Acc:HGNC:29477]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DGKB","ENSG00000136267","DGKB","diacylglycerol kinase beta [Source:HGNC Symbol;Acc:HGNC:2850]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ITGA2","ENSG00000164171","ITGA2","integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LRRC2","ENSG00000163827","LRRC2","leucine rich repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:14676]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZCCHC12","ENSG00000174460","ZCCHC12","zinc finger CCHC-type containing 12 [Source:HGNC Symbol;Acc:HGNC:27273]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KMO","ENSG00000117009","KMO","kynurenine 3-monooxygenase [Source:HGNC Symbol;Acc:HGNC:6381]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CARD8","ENSG00000105483","CARD8","caspase recruitment domain family member 8 [Source:HGNC Symbol;Acc:HGNC:17057]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC3A1","ENSG00000138079","SLC3A1","solute carrier family 3 member 1 [Source:HGNC Symbol;Acc:HGNC:11025]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SGCB","ENSG00000163069","SGCB","sarcoglycan beta [Source:HGNC Symbol;Acc:HGNC:10806]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"DYRK2","ENSG00000127334","DYRK2","dual specificity tyrosine phosphorylation regulated kinase 2 [Source:HGNC Symbol;Acc:HGNC:3093]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRPF38A","ENSG00000134748","PRPF38A","pre-mRNA processing factor 38A [Source:HGNC Symbol;Acc:HGNC:25930]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IGSF6","ENSG00000140749","IGSF6","immunoglobulin superfamily member 6 [Source:HGNC Symbol;Acc:HGNC:5953]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPL35","ENSG00000132313","MRPL35","mitochondrial ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:14489]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF512B","ENSG00000196700","ZNF512B","zinc finger protein 512B [Source:HGNC Symbol;Acc:HGNC:29212]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"B3GNT5","ENSG00000176597","B3GNT5","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:15684]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYTIP","ENSG00000115165","CYTIP","cytohesin 1 interacting protein [Source:HGNC Symbol;Acc:HGNC:9506]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FUT6","ENSG00000156413","FUT6","fucosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:4017]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"B3GALT2","ENSG00000162630","B3GALT2","beta-1,3-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:917]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TXNDC15","ENSG00000113621","TXNDC15","thioredoxin domain containing 15 [Source:HGNC Symbol;Acc:HGNC:20652]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ITIH5","ENSG00000123243","ITIH5","inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RGS7BP","ENSG00000186479","RGS7BP","regulator of G protein signaling 7 binding protein [Source:HGNC Symbol;Acc:HGNC:23271]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRKCD","ENSG00000163932","PRKCD","protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC23A2","ENSG00000089057","SLC23A2","solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSD17B3","ENSG00000130948","HSD17B3","hydroxysteroid 17-beta dehydrogenase 3 [Source:HGNC Symbol;Acc:HGNC:5212]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF549","ENSG00000121406","ZNF549","zinc finger protein 549 [Source:HGNC Symbol;Acc:HGNC:26632]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPSA2","ENSG00000288920","RPSA2","ribosomal protein SA 2 [Source:HGNC Symbol;Acc:HGNC:36809]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPP1R11","ENSG00000204619","PPP1R11","protein phosphatase 1 regulatory inhibitor subunit 11 [Source:HGNC Symbol;Acc:HGNC:9285]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BTBD7","ENSG00000011114","BTBD7","BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18269]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCR7","ENSG00000126353","CCR7","C-C motif chemokine receptor 7 [Source:HGNC Symbol;Acc:HGNC:1608]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYBPC2","ENSG00000086967","MYBPC2","myosin binding protein C2 [Source:HGNC Symbol;Acc:HGNC:7550]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB33A","ENSG00000134594","RAB33A","RAB33A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9773]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DEFB1","ENSG00000164825","DEFB1","defensin beta 1 [Source:HGNC Symbol;Acc:HGNC:2766]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CSF1","ENSG00000184371","CSF1","colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRPF3","ENSG00000096070","BRPF3","bromodomain and PHD finger containing 3 [Source:HGNC Symbol;Acc:HGNC:14256]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF454","ENSG00000178187","ZNF454","zinc finger protein 454 [Source:HGNC Symbol;Acc:HGNC:21200]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYO1G","ENSG00000136286","MYO1G","myosin IG [Source:HGNC Symbol;Acc:HGNC:13880]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYH2","ENSG00000125414","MYH2","myosin heavy chain 2 [Source:HGNC Symbol;Acc:HGNC:7572]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"MASP1","ENSG00000127241","MASP1","MBL associated serine protease 1 [Source:HGNC Symbol;Acc:HGNC:6901]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SELENOW","ENSG00000178980","SELENOW","selenoprotein W [Source:HGNC Symbol;Acc:HGNC:10752]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PCDHB12","ENSG00000120328","PCDHB12","protocadherin beta 12 [Source:HGNC Symbol;Acc:HGNC:8683]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAD17","ENSG00000152942","RAD17","RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RNF14","ENSG00000013561","RNF14","ring finger protein 14 [Source:HGNC Symbol;Acc:HGNC:10058]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FGF12","ENSG00000114279","FGF12","fibroblast growth factor 12 [Source:HGNC Symbol;Acc:HGNC:3668]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BCAP29","ENSG00000075790","BCAP29","B cell receptor associated protein 29 [Source:HGNC Symbol;Acc:HGNC:24131]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SUGCT","ENSG00000175600","SUGCT","succinyl-CoA:glutarate-CoA transferase [Source:HGNC Symbol;Acc:HGNC:16001]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CIB2","ENSG00000136425","CIB2","calcium and integrin binding family member 2 [Source:HGNC Symbol;Acc:HGNC:24579]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SH3BP1","ENSG00000100092","SH3BP1","SH3 domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10824]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DMD","ENSG00000198947","DMD","dystrophin [Source:HGNC Symbol;Acc:HGNC:2928]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SH2D1A","ENSG00000183918","SH2D1A","SH2 domain containing 1A [Source:HGNC Symbol;Acc:HGNC:10820]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDLIM4","ENSG00000131435","PDLIM4","PDZ and LIM domain 4 [Source:HGNC Symbol;Acc:HGNC:16501]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CALML4","ENSG00000129007","CALML4","calmodulin like 4 [Source:HGNC Symbol;Acc:HGNC:18445]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GAL3ST4","ENSG00000197093","GAL3ST4","galactose-3-O-sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:24145]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NXNL1","ENSG00000171773","NXNL1","nucleoredoxin like 1 [Source:HGNC Symbol;Acc:HGNC:25179]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD300LF","ENSG00000186074","CD300LF","CD300 molecule like family member f [Source:HGNC Symbol;Acc:HGNC:29883]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMPDL3B","ENSG00000130768","SMPDL3B","sphingomyelin phosphodiesterase acid like 3B [Source:HGNC Symbol;Acc:HGNC:21416]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAP3K3","ENSG00000198909","MAP3K3","mitogen-activated protein kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6855]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EBF3","ENSG00000108001","EBF3","EBF transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:19087]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMUB2","ENSG00000168591","TMUB2","transmembrane and ubiquitin like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28459]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCL13","ENSG00000181374","CCL13","C-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10611]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAGI3","ENSG00000081026","MAGI3","membrane associated guanylate kinase, WW and PDZ domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29647]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OVCH2","ENSG00000183378","OVCH2","ovochymase 2 [Source:HGNC Symbol;Acc:HGNC:29970]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CLXN","ENSG00000034239","CLXN","calaxin [Source:HGNC Symbol;Acc:HGNC:25678]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"QSOX1","ENSG00000116260","QSOX1","quiescin sulfhydryl oxidase 1 [Source:HGNC Symbol;Acc:HGNC:9756]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NAP1L5","ENSG00000177432","NAP1L5","nucleosome assembly protein 1 like 5 [Source:HGNC Symbol;Acc:HGNC:19968]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIAA0408","ENSG00000189367","KIAA0408","KIAA0408 [Source:HGNC Symbol;Acc:HGNC:21636]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTCL3","ENSG00000214338","MTCL3","MTCL family member 3 [Source:HGNC Symbol;Acc:HGNC:21494]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NTF3","ENSG00000185652","NTF3","neurotrophin 3 [Source:HGNC Symbol;Acc:HGNC:8023]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IDS","ENSG00000010404","IDS","iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IDS","ENSG00000241489","None","novel protein","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPGRIP1","ENSG00000092200","RPGRIP1","RPGR interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13436]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HLA-DQB2","ENSG00000232629","HLA-DQB2","major histocompatibility complex, class II, DQ beta 2 [Source:HGNC Symbol;Acc:HGNC:4945]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC6A9","ENSG00000196517","SLC6A9","solute carrier family 6 member 9 [Source:HGNC Symbol;Acc:HGNC:11056]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HHAT","ENSG00000054392","HHAT","hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ERN2","ENSG00000134398","ERN2","endoplasmic reticulum to nucleus signaling 2 [Source:HGNC Symbol;Acc:HGNC:16942]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CAMK2A","ENSG00000070808","CAMK2A","calcium/calmodulin dependent protein kinase II alpha [Source:HGNC Symbol;Acc:HGNC:1460]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD53","ENSG00000143119","CD53","CD53 molecule [Source:HGNC Symbol;Acc:HGNC:1686]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR2A1","ENSG00000212807","OR2A42","olfactory receptor family 2 subfamily A member 42 [Source:HGNC Symbol;Acc:HGNC:31230]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR2A1","ENSG00000221970","OR2A1","olfactory receptor family 2 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:8229]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR2A42","ENSG00000212807","OR2A42","olfactory receptor family 2 subfamily A member 42 [Source:HGNC Symbol;Acc:HGNC:31230]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LMO4","ENSG00000143013","LMO4","LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FRAT1","ENSG00000165879","FRAT1","FRAT regulator of WNT signaling pathway 1 [Source:HGNC Symbol;Acc:HGNC:3944]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNAP23","ENSG00000092531","SNAP23","synaptosome associated protein 23 [Source:HGNC Symbol;Acc:HGNC:11131]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USP15","ENSG00000135655","USP15","ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARR3","ENSG00000120500","ARR3","arrestin 3 [Source:HGNC Symbol;Acc:HGNC:710]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCN4A","ENSG00000007314","SCN4A","sodium voltage-gated channel alpha subunit 4 [Source:HGNC Symbol;Acc:HGNC:10591]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CXCL14","ENSG00000145824","CXCL14","C-X-C motif chemokine ligand 14 [Source:HGNC Symbol;Acc:HGNC:10640]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDLIM3","ENSG00000154553","PDLIM3","PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"THBS4","ENSG00000113296","THBS4","thrombospondin 4 [Source:HGNC Symbol;Acc:HGNC:11788]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"S1PR4","ENSG00000125910","S1PR4","sphingosine-1-phosphate receptor 4 [Source:HGNC Symbol;Acc:HGNC:3170]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RABGAP1","ENSG00000011454","RABGAP1","RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17155]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RABGAP1","ENSG00000188394","GPR21","G protein-coupled receptor 21 [Source:HGNC Symbol;Acc:HGNC:4476]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"HLA-DRA","ENSG00000204287","HLA-DRA","major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HMGN2","ENSG00000198830","HMGN2","high mobility group nucleosomal binding domain 2 [Source:HGNC Symbol;Acc:HGNC:4986]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ITSN1","ENSG00000205726","ITSN1","intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PWWP2B","ENSG00000171813","PWWP2B","PWWP domain containing 2B [Source:HGNC Symbol;Acc:HGNC:25150]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM149A","ENSG00000109794","FAM149A","family with sequence similarity 149 member A [Source:HGNC Symbol;Acc:HGNC:24527]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MXD4","ENSG00000123933","MXD4","MAX dimerization protein 4 [Source:HGNC Symbol;Acc:HGNC:13906]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NCBP3","ENSG00000074356","NCBP3","nuclear cap binding subunit 3 [Source:HGNC Symbol;Acc:HGNC:24612]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RMDN2","ENSG00000115841","RMDN2","regulator of microtubule dynamics 2 [Source:HGNC Symbol;Acc:HGNC:26567]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR2T35","ENSG00000177151","OR2T35","olfactory receptor family 2 subfamily T member 35 [Source:HGNC Symbol;Acc:HGNC:31257]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACTR1A","ENSG00000138107","ACTR1A","actin related protein 1A [Source:HGNC Symbol;Acc:HGNC:167]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTMR3","ENSG00000100330","MTMR3","myotubularin related protein 3 [Source:HGNC Symbol;Acc:HGNC:7451]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OTUD6A","ENSG00000189401","OTUD6A","OTU deubiquitinase 6A [Source:HGNC Symbol;Acc:HGNC:32312]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CAPZB","ENSG00000077549","CAPZB","capping actin protein of muscle Z-line subunit beta [Source:HGNC Symbol;Acc:HGNC:1491]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SP140L","ENSG00000185404","SP140L","SP140 nuclear body protein like [Source:HGNC Symbol;Acc:HGNC:25105]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"INKA1","ENSG00000185614","INKA1","inka box actin regulator 1 [Source:HGNC Symbol;Acc:HGNC:32480]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NEFM","ENSG00000104722","NEFM","neurofilament medium chain [Source:HGNC Symbol;Acc:HGNC:7734]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TCEA2","ENSG00000171703","TCEA2","transcription elongation factor A2 [Source:HGNC Symbol;Acc:HGNC:11614]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GRAP2","ENSG00000100351","GRAP2","GRB2 related adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:4563]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SELENOS","ENSG00000131871","SELENOS","selenoprotein S [Source:HGNC Symbol;Acc:HGNC:30396]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARNT2","ENSG00000172379","ARNT2","aryl hydrocarbon receptor nuclear translocator 2 [Source:HGNC Symbol;Acc:HGNC:16876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF415","ENSG00000170954","ZNF415","zinc finger protein 415 [Source:HGNC Symbol;Acc:HGNC:20636]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GGT1","ENSG00000100031","GGT1","gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GGT3P","ENSG00000197421","GGT3P","gamma-glutamyltransferase 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:4252]","GENECARDS,HGNC"
"IFNGR2","ENSG00000159128","IFNGR2","interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHRNB1","ENSG00000170175","CHRNB1","cholinergic receptor nicotinic beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:1961]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IL2RG","ENSG00000147168","IL2RG","interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
